AcresBurned,Latitude,Longitude,Started,UniqueID,StationDistance,StationID,Total ETo (in),Total Precip (in),Avg Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Max Air Temp (F),Avg Min Air Temp (F),Avg Air Temp (F),Avg Max Rel Hum (%),Avg Min Rel Hum (%),Avg Rel Hum (%),Avg Dew Point (F),Avg Wind Speed (mph),Avg Soil Temp (F)
281893,34.41521,-119.09124,Dec 2017,d28bc34e-73a8-454d-9e55-dea7bdd40bee,6.319871044,198,3.52,0,266,6.6,76.9,44.2,59.5,71,21,42,32.3,4.7,57.9
281893,34.41521,-119.09124,Dec 2017,d28bc34e-73a8-454d-9e55-dea7bdd40bee,6.319871044,198,3.52,0,266,6.6,76.9,44.2,59.5,71,21,42,32.3,4.7,57.9
132127,36.45994,-121.89938,Jul 2016,977ac7ce-4204-4cd3-9f89-727142165261,5.713348748,210,5,0.01,581,14,65.5,50.6,57.1,100,74,88,53.6,3.6,68.3
97717,38.805437,-120.629714,Sep 2014,3df6ecf7-f095-483d-b1c4-2dc969d61261,8.025294931,13,6.01,1.05,462,9.3,82.1,59.7,70.6,54,28,40,41.8,5.4,64.1
96949,34.235,-118.70128,Nov 2018,92d7aeea-7abf-47a4-bf76-a4fe0fac65c6,4.155006127,219,3.26,0.87,298,7.4,76.1,51,62.4,66,23,42,31.4,3.1,65.2
96949,34.235,-118.70128,Nov 2018,92d7aeea-7abf-47a4-bf76-a4fe0fac65c6,4.155006127,219,3.26,0.87,298,7.4,76.1,51,62.4,66,23,42,31.4,3.1,65.2
56556,38.4041,-122.5209,Oct 2017,be79d28c-767d-4a0d-b168-e86a5842004f,7.820600362,77,3.88,0.01,329,8.8,82.2,42.3,60.7,85,24,51,39.9,3,59.5
56556,38.4041,-122.5209,Oct 2017,be79d28c-767d-4a0d-b168-e86a5842004f,7.820600362,77,3.88,0.01,329,8.8,82.2,42.3,60.7,85,24,51,39.9,3,59.5
48920,39.04786,-123.11971,Jul 2018,af30fe23-6cfd-4fd6-b2d9-91648eeae814,4.969596682,106,8.32,0.59,673,13.9,95.1,51.5,73.3,86,27,52,53.2,3.9,70.8
48920,39.04786,-123.11971,Jul 2018,af30fe23-6cfd-4fd6-b2d9-91648eeae814,4.969596682,106,8.32,0.59,673,13.9,95.1,51.5,73.3,86,27,52,53.2,3.9,70.8
48920,39.04786,-123.11971,Jul 2018,af30fe23-6cfd-4fd6-b2d9-91648eeae814,4.969596682,106,8.32,0.59,673,13.9,95.1,51.5,73.3,86,27,52,53.2,3.9,70.8
31359,34.16027778,-116.8927778,Jun 2015,17616590-ce26-4c73-bf81-70d338d027ce,5.640906617,199,6.22,0.36,637,6,74.7,39.8,59,65,19,36,30,3.4,59.9
23136,33.69888,-117.52055,Aug 2018,5b9e5ea7-1f63-46dd-aabd-8cf407c6f4ba,6.952092031,245,6.93,0.04,610,19.8,89.9,63,74.5,97,42,68,63.1,3.4,71.1
18430,34.55096,-119.9494,Jul 2017,dfd1e0d9-42b5-436a-aa83-ffcbbb7a6145,9.230084236,64,7.21,1.24,588,15.1,90.6,53.7,68.9,95,33,64,55.7,4.7,78.2
15619,34.31283,-118.35863,Dec 2017,a245b55b-3eb7-49dd-9a5e-909d53854055,4.253595348,216,3.79,0.32,338,4.3,74.7,47.5,60,41,15,26,21.9,3.6,58.6
